INFO 2015-09-27 22:59:30,325 crits.services.handlers Enabling: taxii_service
INFO 2015-09-27 23:02:53,835 crits.services.handlers Enabling triage: taxii_service
INFO 2015-10-05 10:53:01,286 crits.services.handlers Enabling: virustotal_lookup
INFO 2015-10-05 10:53:02,564 crits.services.handlers Enabling triage: virustotal_lookup
INFO 2015-10-05 11:02:40,660 crits.services.handlers Running virustotal_lookup on 560415ae8c5de81e5669f19c, execute=process
INFO 2015-10-05 23:03:40,451 crits.services.handlers Running virustotal_lookup on 56133a0c8c5de826604d87fe, execute=process
INFO 2015-10-06 04:47:11,310 crits.services.handlers Running virustotal_lookup on 56133a0c8c5de826604d87fe, execute=process
DEBUG 2015-10-06 05:53:05,989 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 05:53:05,989 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 05:53:05,995 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 05:53:05,995 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 05:53:07,433 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 05:53:07,433 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 05:53:07,439 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 05:53:07,439 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:04:56,274 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:04:56,274 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:04:56,280 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:04:56,280 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:04:57,692 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:04:57,692 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:04:57,699 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:04:57,699 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:07:06,505 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:07:06,505 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:07:06,511 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:07:06,511 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:07:07,909 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:07:07,909 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:07:07,915 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:07:07,915 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:10:10,163 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:10:10,163 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:10:10,169 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:10:10,169 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:10:11,691 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:10:11,691 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:10:11,697 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:10:11,697 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:12:38,287 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:12:38,287 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:12:38,293 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:12:38,294 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:12:39,715 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:12:39,715 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:12:39,722 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:12:39,722 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:18:18,783 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:18:18,783 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:18:18,789 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:18:18,789 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:18:20,357 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:18:20,357 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:18:20,363 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:18:20,363 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:20:37,939 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:20:37,939 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:20:37,946 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:20:37,946 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:20:39,340 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:20:39,340 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:20:39,346 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:20:39,346 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:21:48,770 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:21:48,770 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:21:48,778 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:21:48,778 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:21:50,165 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:21:50,165 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:21:50,172 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:21:50,172 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:22:31,763 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:22:31,763 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:22:31,769 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:22:31,769 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:22:33,232 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:22:33,232 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:22:33,238 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:22:33,238 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:25:42,178 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:25:42,178 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:25:42,184 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:25:42,184 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:25:43,572 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:25:43,572 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:25:43,579 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:25:43,579 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:27:09,760 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:27:09,760 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:27:09,766 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:27:09,766 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:27:11,248 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:27:11,248 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:27:11,254 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:27:11,254 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:28:53,054 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:28:53,054 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:28:53,060 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:28:53,060 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:28:54,464 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:28:54,464 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:28:54,470 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:28:54,470 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:30:44,161 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:30:44,161 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:30:44,167 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:30:44,167 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:30:45,679 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:30:45,679 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:30:45,685 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:30:45,685 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:34:57,178 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:34:57,178 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:34:57,184 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
